,Titre,Company,Summaries,avg,cityfrance,city
49,Stage - Data Analyst (F/H),Ledger,"Tu as une première expérience en data ou en BI;
Mettre en place et maintenir une documentation complète des données contenues dans notre data warehouse;",3736.0,['Gennevilliers (92)'],Gennevilliers (92)
53,Consultant(e) fonctionnel en Business Intelligence f/h,Groupe CANAL+,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,3736.0,['Levallois-Perret (92)'],Levallois-Perret (92)
54,Développeur Junior en alternance (H/F),Novencia,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",1539.0,['Paris (75)'],Paris (75)
59,Développeur Junior en alternance (H/F),OpenClassrooms,"Vos missions seront les suivantes : - Analyser l’organisation et les processus des périmètres audités, - Contribuer au développement d’outils de data analytics,…",3736.0,['Châtillon (92)'],Châtillon (92)
66,Business & Data Analyst F/H,Chanel,"Rejoignez notre équipe data riche en compétences, vivante et éclectique qui regroupe data scientists, engineers, BI et analysts.",3736.0,['Paris (75)'],Paris (75)
69,Consultant Data scientist F/H,INEOX,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :",3736.0,['Levallois-Perret (92)'],Levallois-Perret (92)
73,Business Developer – Stage de fin d’études – Juillet 2020,Esmoz,"Développeur JAVA: 3 ans (Requis).
Développeur sur Alfresco: 2 ans (Requis).
_La société IT SERVICES SYSTEM est une ESN spécialisée dans l'accompagnement…",3736.0,['Paris 9e (75)'],Paris 9e (75)
75,Alternance - Data Scientist H/F,Antilop,"ALTERNANCE - DÉVELOPPEUR H/F (NUMÉRO DE L'EMPLOI : !A_PF_DSI20_0037).
Développer les fonctionnalités des applications.
Votre niveau d’anglais est avancé.",2950.0,['Levallois-Perret (92)'],Levallois-Perret (92)
76,Data Scientist H/F,Groupement Les Mousquetaires,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…",2106.0,['Paris 2e (75)'],Paris 2e (75)
78,Business Developer – Stage de fin d’études – Juillet 2020,Esmoz,"La mission du/ de la Data scientist recherchée s’inscrit dans le cadre de ces projets.
Et avec les Business Owners des produits (métiers), le(la) Data scientist…",2100.0,['Rueil-Malmaison (92)'],Rueil-Malmaison (92)
79,Analyste Développeur Éditique (H/F),Entropy,"…maîtriserez la boîte à outils d’un/e data analyst évoluant dans le domaine de la communication et du marketing.
Passion pour la recherche et l’analyse.",2250.0,['Paris 9e (75)'],Paris 9e (75)
81,Stagiaire Opinion Data Analyst,Winamax,"Présentation de la Direction générale.
La Banque de France recrute un Statisticien - Data Scientist H/F dans le cadre dune création de poste.",2100.0,['Paris 18e (75)'],Paris 18e (75)
83,CDD - Data Scientist ou Statisticien (F/H),Bouygues Telecom,"Vous bénéficiez d'une bonne connaissance en analyse de données, en algorithmes et en data engineering.
En qualité de Data Analyst, vous serez intégré(e) au sein…",2250.0,['Noisy-le-Sec (93)'],Noisy-le-Sec (93)
84,Consultant Data scientist F/H,Air Liquide,"Equancy recherche un data scientist passionné pour rejoindre sa practice Data.
Nos équipes sont composées de consultants de niveau junior à manager,…",2100.0,['Levallois-Perret (92)'],Levallois-Perret (92)
85,Data Analyst H/F,Uptime,"En tant que Data Engineer au sein de cette équipe, tu travailleras en étroite collaboration avec des data scientist et des développeurs pour prendre en charge…",2100.0,['Paris 2e (75)'],Paris 2e (75)
87,Consultant(e) fonctionnel en Business Intelligence f/h,Axys Consultants,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…",2100.0,['Rueil-Malmaison (92)'],Rueil-Malmaison (92)
90,Développeur NodeJS H/F,CCM Benchmark Group,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :",2171.5,['Levallois-Perret (92)'],Levallois-Perret (92)
92,Webmarketeur – Développeur multimédia h/f - Alternance,Wolters Kluwer,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…",2100.0,['Paris (75)'],Paris (75)
94,Développeur PHP e-commerce,ASSU2000,"Analyse des data IP issues de nos mesures terrain et des data issues du crowdsourcing (SQL, Python).
Un des objectifs majeurs de 2020 est l'améliorations des…",2100.0,['Gennevilliers (92)'],Gennevilliers (92)
102,Stagiaire Data Scientist,Kaisens Data,"LES MISSIONS DU Data scientist-engineer.
LE CADRE DU Data scientist-engineer.
Au sein d’un collectif de 350 professionnels experts du digital, nous imaginons et…",2100.0,['Paris 2e (75)'],Paris 2e (75)
106,CONSULTANT DATA SCIENTIST H/F,emagine Consulting,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",2100.0,['Paris (75)'],Paris (75)
110,Webmarketeur – Développeur multimédia h/f - Alternance,Malakoff Humanis,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…",2100.0,['Paris 9e (75)'],Paris 9e (75)
120,Data Scientist F/H,FairMoney,"Vous êtes autonome, data-driven et reconnu pour votre capacité à produire un contenu (des reportings et analyses) précis et synthétique.",2100.0,['Asnières-sur-Seine (92)'],Asnières-sur-Seine (92)
142,Data Scientist Senior - Direction Stratégie Data et IA (H/F),Alcimed,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git.",2650.0,['Levallois-Perret (92)'],Levallois-Perret (92)
147,Développeur Java Alfresco,Malakoff Humanis,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git.",2628.5,['Paris 2e (75)'],Paris 2e (75)
152,Webmarketeur – Développeur multimédia h/f - Alternance,CCM Benchmark Group,"De traduire les problématiques métiers en problème data science/IA,.
Leader français en gestion et acquisition de créances, iQera accompagne les grandes…",2650.0,['Paris 9e (75)'],Paris 9e (75)
158,Business Analyst (Secteur assurance),Calypse Consulting,"Equancy recherche un data scientist passionné pour rejoindre sa practice Data.
Nos équipes sont composées de consultants de niveau junior à manager,…",2150.0,['Paris (75)'],Paris (75)
191,ALSA EMS - Alternance/Stage - Data Intelligence Specialist H/F,Numberly,"Business intelligence : construction et suivi des KPIs.
Au sein du service Capital Client du département Marketing Réseau de Total, vous serez rattaché au…",4000.0,['Nancy (54)'],Nancy (54)
192,Data Scientist F/H,Crédit Agricole Consumer Finance,"Data scientist h/f ou similaire: 3 ans (Requis).
Business Intelligence : expérience en alimentation de solution de data visualisation & reporting.",2650.0,['France'],France
194,Data scientist dans le domaine des risques de crédit,Maisons du Monde,"Set-up and deploy in production the data processing pipelines of our clients, including data reception in batches or in real-time, data cleaning, information…",2650.0,['France'],France
199,Développeur PHP e-commerce,IT SERVICES SYSTEM,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :",2355.0,['France'],France
201,Développeur Java Alfresco,CCM Benchmark Group,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,2100.0,['Nancy (54)'],Nancy (54)
205,Alternance - Data Scientist H/F,Malakoff Humanis,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :",2355.0,['France'],France
206,Développeur Java Alfresco,CCM Benchmark Group,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant.",2355.0,['France'],France
211,Data scientist user behaviour H/F,Beijaflore,"Nous recherchons un data analyst pour accompagner le lancement d’une nouvelle offre, centrée sur l’exploitation des (big) data au service de nos clients.",2355.0,['France'],France
216,Chargé(e) d'études statistique / Data Analyst F/H,ANALYSE INFORMATIQUE DE DONNEES,"Le groupe EOS, filiale à 100% du groupe allemand OTTO, présent dans 26 pays, est l’un des leaders internationaux de la gestion et de l’acquisition de créances.",2355.0,['France'],France
218,Data Analyst digital H/F,Ametix,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",1700.0,['France'],France
219,Développeur PHP e-commerce,ASSU2000,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…",2912.0,['France'],France
220,Data Scientist Marketing H/F,Bouygues Telecom,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2355.0,['France'],France
226,Alternant(e) - Ingénieur Data Analyst,Selency,"Tu as un véritable esprit analytique, et tu es doté(e) d’une curiosité et d’une culture générale business.
En tant que Data Analyst, et directement rattaché à…",2355.0,['France'],France
229,Data Scientist H/F,CA CIB FRANCE,"Crédit Agricole CIB est la banque de financement de d'investissement du groupe Crédit Agricole, 12e groupe bancaire mondial par les fonds propres Tier1 (The…",2355.0,['France'],France
234,Consultant Business Intelligence H/F,Fortuneo,Kel Foncier est l'application Web numéro 1 des développeurs fonciers en France offrant en 1 clic le potentiel constructible de chaque terrain et parcelle en…,2355.0,['Nancy (54)'],Nancy (54)
237,Alternance - Data Scientist H/F,IT SERVICES SYSTEM,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git.",2355.0,['France'],France
240,Webmarketeur – Développeur multimédia h/f - Alternance,Groupe Kiosque,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant.",2355.0,['Nancy (54)'],Nancy (54)
241,Développeur C# H/F,Antilop,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2355.0,['France'],France
243,Data Analyst - H/F,Orange,"Etre garant de la fiabilité de données et être l'interlocuteur des équipes data pour enrichir notre référentiel.
Vos missions principales sont les suivantes :",2355.0,['Nancy (54)'],Nancy (54)
252,Consultant Data Scientist (H/F),Maisons du Monde,"Quelle que soit la façon dont elle est structurée, la data n’est plus l’apanage des SI… mais bien au cœur des activités et des Métiers.",2355.0,['France'],France
253,Développeur PHP e-commerce,Bouygues Telecom,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…",2355.0,['France'],France
256,Développeur Java Alfresco,Malakoff Humanis,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git.",2355.0,['Nancy (54)'],Nancy (54)
259,Alternance - Data Scientist H/F,IT SERVICES SYSTEM,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",2355.0,['Nancy (54)'],Nancy (54)
265,Développeur(se) junior H/F,UNESCO,"Vous serez encadré par des experts métiers, des data scientists en interne et des experts datas.
La cellule Early Detection a pour objectif de détecter le plus…",2355.0,['France'],France
268,DataMiner/Data Analyst / Freelance,Apside,"Il devra proposer les bonnes méthodologies et faire preuve de pédagogie, pragmatisme, sens client et business et apporter des réponses aux problèmes métiers des…",2355.0,['Nancy (54)'],Nancy (54)
272,Data scientist (H/F),Diabeloop,"As a business/data analyst intern, your core mission will be to get more value out of our data.
Are native or bilingual English and/or French speaker.",2100.0,['France'],France
273,Développeur PHP Data H/F,CCM Benchmark Group,"Engineer, master degree or Phd in applied mathematics or data science.
Ingénieur, Master ou Docteur en mathématiques appliquées, en data-science.",2355.0,['France'],France
276,Développeur Java Alfresco,Malakoff Humanis,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,2100.0,['France'],France
279,Data Scientist Marketing H/F,OFFICE EXPERT,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…",2355.0,['France'],France
281,Alternance Data Analyst Junior Anti-trafic (H/F),NATIXIS,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2100.0,['France'],France
283,Data Analyst PowerBI F/H,Beijaflore,"Recently completed studies in economics or social sciences or a related discipline (Bachelor/Master).
Enjoy collecting, organizing and analyzing large amounts…",2355.0,['France'],France
285,RESPONSABLE DE DOMAINE BUSINESS INTELLIGENCE H/F,UNESCO,Dans ce cadre nous recherchons un data analyst référentiel de données avec une solide expérience et compréhension de la gestion de fiches produits.,2100.0,['France'],France
286,Assistant Data Scientist - Early Detection H/F,Talenteed,"Une personne ayant des connaissances/expérience en data science et machine learning.
CAST est le leader du marché de la Software Intelligence.",2355.0,['France'],France
289,Data analyst H/F H/F,GroupM,"Le/la data scientist incarne l'offre Digital for Business dans le domaine de la « Data ».
Le/la data scientist confirmé(e) peut gérer un projet complexe pour…",2355.0,['France'],France
290,Stagiaire Data Scientist – Economic Advisory (H/F),BPCE SA,"Analyse des data IP issues de nos mesures terrain et des data issues du crowdsourcing (SQL, Python).
Un des objectifs majeurs de 2020 est l'améliorations des…",2100.0,['Nancy (54)'],Nancy (54)
292,Webmarketeur – Développeur multimédia h/f - Alternance,Groupe Kiosque,"Nous recherchons un data scientist référent sur la connaissance et la prédiction des projets immobiliers de nos utilisateurs.
Ile-de-France, Paris (75).",2355.0,['France'],France
293,Développeur NodeJS H/F,ZAION,Kel Foncier est l'application Web numéro 1 des développeurs fonciers en France offrant en 1 clic le potentiel constructible de chaque terrain et parcelle en…,2100.0,['Nancy (54)'],Nancy (54)
296,Développeur PHP Data H/F,CCM Benchmark Group,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…",2355.0,['France'],France
297,Développeur Java Alfresco,Malakoff Humanis,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant.",2100.0,['France'],France
301,Data Engineer H/F,GroupM,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git.",2355.0,['France'],France
302,Data Scientist Prévoyance - 92 SUD,Deloitte,"Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France.",2100.0,['Nancy (54)'],Nancy (54)
311,Développeur PHP e-commerce,Bouygues Telecom,"Apporter une solution industrialisable aux besoins opérationnels via le développement de modèles prédictifs ou de segmentation, d'outil d'automatisation ou de…",2355.0,['France'],France
312,Data Scientist H/F,Esmoz,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2100.0,['France'],France
317,Développeur Java Alfresco,Malakoff Humanis,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :",2355.0,['France'],France
318,Chargé d'affaires Investissement Durable,Nexton Consulting FR,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,2100.0,['France'],France
319,Ingénieur Data Analyst H/F,Bouygues Telecom,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",2355.0,['France'],France
323,Data Engineer H/F,Manutan,"Vous alliez un esprit de « business development » à une passion pour l’informatique ?
En tant qu’Alternant Business Analyst, vous rejoindrez le Centre de…",2100.0,['France'],France
329,Développeur PHP e-commerce,Bouygues Telecom,"Tu seras épaulé pour les aspects techniques par notre équipe de Data Scientists et de développeurs.
Un de nos principaux clients est en pleine transformation…",2100.0,['Craponne (69)'],Craponne (69)
330,Développeur PHP Data H/F,CCM Benchmark Group,"As a data scientist at Data&Data, your responsibilities will include:
Designing algorithms for processing and analyzing data.
Start Date: 02 January 2020.",2355.0,['Brignais (69)'],Brignais (69)
331,Développeur PHP e-commerce,Esmoz,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2355.0,['Craponne (69)'],Craponne (69)
332,Webmarketeur – Développeur multimédia h/f - Alternance,OFFICE EXPERT,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…",2100.0,['Lyon (69)'],Lyon (69)
337,Développeur Testeur DATA Junior PostgreSQL / Freelance,FREE,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,2355.0,['Brignais (69)'],Brignais (69)
341,Data Scientist Junior H/F,NATIXIS,"Dans le cadre du développement de notre activité, nous recherchons, un(e) Data Scientist (H/F).
Les différents aspects de la prestation seront :",2100.0,['Lyon (69)'],Lyon (69)
346,Data Scientist (H/F),Happn,"En dernière année d’un cursus bac +5 au sein d‘une école de commerce ou d‘un cursus universitaire avec une spécialisation en intelligence économique,…",2355.0,['Brignais (69)'],Brignais (69)
347,Data Scientist Marketing H/F,Antilop,"Compréhension fine des enjeux business ;
Au sein de la nouvelle Direction Data, chargée de l'exploitation et de la valorisation des données à travers le groupe,…",2100.0,['Lyon (69)'],Lyon (69)
349,Développeur Java Alfresco,CCM Benchmark Group,Si tu souhaites pouvoir travailler sur des projets unique en tant que data scientist dans une structure en pleine expansion et acquérir d’avantages de…,2100.0,"[""Champagne-au-Mont-d'Or (69)""]",Champagne-au-Mont-d'Or (69)
350,Data Scientist H/F,Esmoz,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…",2355.0,['Lyon (69)'],Lyon (69)
359,Alternant(e) - Ingénieur télécom et data scientist,AXA GLOBAL DIRECT,"4Beez est une jeune agence digitale 360 à taille humaine , basée à Paris et connectée au monde.
Dans le cadre de notre développement nous recherchons dès…",2355.0,['Craponne (69)'],Craponne (69)
360,"CDI Ingénieur Patrimonial Junior (H/F) - Paris, Marseille ou Lyon",Chanel,"Etudier les data model existants, issus de plusieurs années de vie autonome des composants et proposer une stratégie pour la mise en cohérence de ceux-ci.",2100.0,['Brignais (69)'],Brignais (69)
365,Analyste data performance H/F,Groupe NATAN (75002),"De formation Bac+5 écoles d'ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d'un cycle sur la data science.",2355.0,['Lozanne (69)'],Lozanne (69)
366,Développeur C# H/F,Antilop,"En étroite collaboration avec le Lead et un développeur Recherche & Développement outils 3d de l'équipe, vos missions seront les suivantes :",2100.0,['France'],France
371,Ingénieur études et développement Java F/H,Armée de Terre,Kel Foncier est l'application Web numéro 1 des développeurs fonciers en France offrant en 1 clic le potentiel constructible de chaque terrain et parcelle en…,2355.0,['France'],France
372,Lead Technique Java/J2EE F/H - Nantes,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2100.0,['Lyon 9e (69)'],Lyon 9e (69)
377,Développeur PHP (H/F),MGEN,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Brignais (69)'],Brignais (69)
378,Assistant(e) commercial(e),Preface,"_Agria Grand Est, association d'entreprises agroalimentaires et agro ressources, porteuse du Centre Régional d'Innovation et de Transfert de Technologie…",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
380,Conseiller / Conseillère en insertion professionnelle H/F,Miss Numérique,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…",2355.0,['Craponne (69)'],Craponne (69)
382,Développeur PHP Full Stack,JUXTA,"Un esprit vif, réactif, orienté business et stimulé par les environnements évolutifs et exigeants.
ET SI VOUS FAISIEZ PARTIE D’UNE AVENTURE STIMULANTE,…",3150.0,['Lozanne (69)'],Lozanne (69)
384,Chef de bureau reporting / business intelligence H/F,GROUPE MENTOR,"En tant que développeur, vous participez à la fois du bon déroulement des soins et de la prise en charge des patients mais également de la logistique et des…",600.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
386,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,"Développeur informatique h/f ou similaire: 1 an (Souhaité).
Spécialisée dans l’édition de logiciels innovants, Juxta exerce son savoir-faire informatique depuis…",900.0,['Lyon 9e (69)'],Lyon 9e (69)
387,Commercial beauté h/f,Marine Nationale,"Développeur fullstack node js / vue js f/h ou similaire: 1 an (Requis).
Dans le cadre du développement d'un nouveau produit relatif à l'Intelligence…",2200.0,['Brignais (69)'],Brignais (69)
389,Développeur informatique H/F,OpenClassrooms,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,2355.0,['France'],France
390,Développeur informatique H/F,OpenClassrooms,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",2355.0,['Craponne (69)'],Craponne (69)
392,Développeur Cobol,Distributeur Indépendant,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Lozanne (69)'],Lozanne (69)
394,Développeur Angular H/F,GROUPE MENTOR,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
395,Developper / API / Intégration / Lead dev,JUXTA,Nous recherchons pour notre établissement basé à Nancy : un développeur Web H/F afin de renforcer notre équipe technique pour développer les fonctions de…,2355.0,"[""Champagne-au-Mont-d'Or (69)""]",Champagne-au-Mont-d'Or (69)
397,DÉVELOPPEUR INFORMATIQUE (H/F),Orange,"Nous recherchons pour notre site de Paris des développeurs Angular (F/H) pour renforcer notre département.
Vous interviendrez sur des projets de développement…",2100.0,['France'],France
401,Chef de bureau reporting / business intelligence H/F,MISS NUMERIQUE,"Rattaché au Responsable Développement, vous participez aux différentes phases d’analyse, de conception, tests et intégration des applications métiers.",2355.0,['France'],France
402,Développeur Full Stack et Web (F/H) DW-PRE-NA158,Armée de Terre,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
404,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Premista,"ELISATH, PME high tech Nancy Sud, spécialisée dans la conception, le développement, la commercialisation, l’installation et la maintenance de systèmes de…",2355.0,"[""Champagne-au-Mont-d'Or (69)""]",Champagne-au-Mont-d'Or (69)
405,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
406,Developpeur Web H/F,Marine Nationale,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['France'],France
408,Développeur .NET (H/F),OpenClassrooms,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Lyon 9e (69)'],Lyon 9e (69)
409,Développeur Logiciel Expérimenté H/F,OpenClassrooms,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,580.0,['Craponne (69)'],Craponne (69)
410,DIGITAL BUSINESS DEVELOPER F/H,OpenClassrooms,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",2355.0,['France'],France
413,Développeur Java F/H,Teogest,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Lyon 9e (69)'],Lyon 9e (69)
417,Développeur (F/H) DEV-PRE-PNL80,Emerson,"Rattaché au Responsable Développement, vous participez aux différentes phases d’analyse, de conception, tests et intégration des applications métiers.",2100.0,['Brignais (69)'],Brignais (69)
419,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,CAC,"Rattaché au directeur technique, au sein d’une équipe expérimentée, vous serez en charge du développement des différents modules constituant notre ERP.",2355.0,['France'],France
422,Développeur Front - IOT F/H,OpenClassrooms,"Quadra Informatique, fort de ses 23 ans d’expérience et de ses projets réussis avec ses partenaires, grands comptes régionaux et nationaux, trouve sa force dans…",2100.0,"[""Champagne-au-Mont-d'Or (69)""]",Champagne-au-Mont-d'Or (69)
423,Consultant Développeur PHP (H/F),Premista,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
425,Développeur / Chef de projet en solutions d'industrialisation IT F/H,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2355.0,['Lozanne (69)'],Lozanne (69)
428,Un développeur Java JEE/Angular sur Nancy / Freelance,Switch Over,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Brignais (69)'],Brignais (69)
432,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Modis,"Avec plus de 45 000 collaborateurs dans le monde, notre client fournit des prestations d'analyse aux industries pharmaceutiques, alimentaires et dans le domaine…",2100.0,['Craponne (69)'],Craponne (69)
433,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Nuamouv,"Elle propose une gamme de progiciels en technologie web, mobile et data, dédiée au suivi et à loptimisation des productions agricoles et agro-alimentaires.",2100.0,['Brignais (69)'],Brignais (69)
435,Développeur (F/H) DEV-PRE-PNL80,Groupe Mentor,"En cas de pépin, vous êtes amené à devoir analyser les problèmes techniques afin d’en déterminer les actions correctives à mener tel un véritable analyste,.",2355.0,['Lozanne (69)'],Lozanne (69)
437,Chef de bureau reporting / business intelligence H/F,Aston iTF,"Développeurs php symfony backend / fullstack nancy ou similaire: 1 an (Requis).
Gamestream® est le leader mondial des solutions de streaming de jeux vidéo en…",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
438,DÉVELOPPEUR INFORMATIQUE (H/F),Premista,"Directement rattaché au CTO, vous rejoindrez l’équipe de développeurs.
Type de contrat : CDI (poste à pourvoir ASAP).
Parfaitement les langages C#, .Net.",2355.0,['France'],France
440,ANALYSTE CONTRÔLE QUALITÉ CODE SOURCE F/H,OpenClassrooms,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile.",2355.0,['Lyon (69)'],Lyon (69)
443,Ingénieur informatique (H/F),OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Brignais (69)'],Brignais (69)
445,Analyste Testeur Fintech H/F,Armée de Terre,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['France'],France
