,Titre,Company,Location,Salary,Summaries
375,Développeur Web (H/F),Agria Grand Est,France,35 000 € - 45 000 € par an,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
376,Développeur d'activité / Chef de projet agro-alimentaire et agro-ressource,MGEN,Tassin-la-Demi-Lune (69),60 000 € - 65 000 € par an,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
377,Développeur PHP (H/F),MGEN,Brignais (69),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
378,Assistant(e) commercial(e),Preface,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"_Agria Grand Est, association d'entreprises agroalimentaires et agro ressources, porteuse du Centre Régional d'Innovation et de Transfert de Technologie…"
379,Développeur Web H/F,Codexial Laboratoire Dermatologique,France,30 000 € - 35 000 € par an,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…"
380,Conseiller / Conseillère en insertion professionnelle H/F,Miss Numérique,Craponne (69),2 210 € - 2 500 € par mois,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…"
381,Développeur(se) Full Stack h-f,Serenity Medical Services (filiale Bioserenity),Lyon 9e (69),30 000 € - 35 000 € par an,"Dans le cadre de ses activités de formation et d'insertion à destination des personnes sous main de justice, PREFACE est à la recherche d'un(e) chargé(e) en…"
382,Développeur PHP Full Stack,JUXTA,Lozanne (69),2 900 € - 3 400 € par mois,"Un esprit vif, réactif, orienté business et stimulé par les environnements évolutifs et exigeants.
ET SI VOUS FAISIEZ PARTIE D’UNE AVENTURE STIMULANTE,…"
383,Chef de bureau reporting / business intelligence H/F,Aston iTF,France,30 000 € - 35 000 € par an,Nous recherchons pour notre établissement basé à Nancy : un développeur Web H/F afin de renforcer notre équipe technique pour développer les fonctions de notre…
384,Chef de bureau reporting / business intelligence H/F,GROUPE MENTOR,Tassin-la-Demi-Lune (69),600 € par mois,"En tant que développeur, vous participez à la fois du bon déroulement des soins et de la prise en charge des patients mais également de la logistique et des…"
385,Développeur Full Stack et Web (F/H) DW-PRE-NA158,OpenClassrooms,Champagne-au-Mont-d'Or (69),30 000 € - 35 000 € par an,"Développeur informatique h/f ou similaire: 2 ans (Souhaité).
De formation informatique Bac+3 minimum, vous justifiez de 2/3 ans d'expérience dans la fonction de…"
386,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,Lyon 9e (69),900 € par mois,"Développeur informatique h/f ou similaire: 1 an (Souhaité).
Spécialisée dans l’édition de logiciels innovants, Juxta exerce son savoir-faire informatique depuis…"
387,Commercial beauté h/f,Marine Nationale,Brignais (69),2 200 € par mois,"Développeur fullstack node js / vue js f/h ou similaire: 1 an (Requis).
Dans le cadre du développement d'un nouveau produit relatif à l'Intelligence…"
388,Développeur informatique H/F,Premista,Tassin-la-Demi-Lune (69),45 000 € - 60 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
389,Développeur informatique H/F,OpenClassrooms,France,2 210 € - 2 500 € par mois,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
390,Développeur informatique H/F,OpenClassrooms,Craponne (69),2 210 € - 2 500 € par mois,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
391,Développeur SQL,OpenClassrooms,Champagne-au-Mont-d'Or (69),30 000 € - 40 000 € par an,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
392,Développeur Cobol,Distributeur Indépendant,Lozanne (69),2 000 € - 2 200 € par mois,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
393,Développeur .NET (H/F),Partners Finances,France,30 000 € - 35 000 € par an,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
394,Développeur Angular H/F,GROUPE MENTOR,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
395,Developper / API / Intégration / Lead dev,JUXTA,Champagne-au-Mont-d'Or (69),2 210 € - 2 500 € par mois,Nous recherchons pour notre établissement basé à Nancy : un développeur Web H/F afin de renforcer notre équipe technique pour développer les fonctions de…
396,Developpeur Web H/F,Aston iTF,Tassin-la-Demi-Lune (69),30 000 € - 35 000 € par an,"Aujourd’hui nous recherchons un développeur SQL avec une expérience significative dans le.
Type de contrat : CDI (poste à pourvoir ASAP)."
397,DÉVELOPPEUR INFORMATIQUE (H/F),Orange,France,2 000 € - 2 200 € par mois,"Nous recherchons pour notre site de Paris des développeurs Angular (F/H) pour renforcer notre département.
Vous interviendrez sur des projets de développement…"
398,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Actimage,Lozanne (69),30 000 € - 40 000 € par an,"Tu seras intégré à l'équipe projet de notre client.
Concrètement, ta mission consistera à :
Analyser & développer des applications bancaires;"
399,Développeur (F/H) DEV-PRE-PNL80,Teogest,Lyon 9e (69),35 000 € - 45 000 € par an,"De formation informatique Bac+3 minimum, vous justifiez de 2/3 ans d'expérience dans la fonction de développeur ainsi que dans la réalisation d’applications web…"
400,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,CAC,Craponne (69),30 000 € - 35 000 € par an,"Pour accompagner nos clients, entreprises et institutions, nous disposons d’une Agence Digitale ""Adista Digital Factory"" afin d’assurer une palette de…"
401,Chef de bureau reporting / business intelligence H/F,MISS NUMERIQUE,France,2 210 € - 2 500 € par mois,"Rattaché au Responsable Développement, vous participez aux différentes phases d’analyse, de conception, tests et intégration des applications métiers."
402,Développeur Full Stack et Web (F/H) DW-PRE-NA158,Armée de Terre,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…"
403,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,Brignais (69),30 000 € - 35 000 € par an,"Au sein d'une équipe de Développeurs, vos missions sont les suivantes :
Participer à la phase d'analyse des besoins des utilisateurs, conception de projets…"
404,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Premista,Champagne-au-Mont-d'Or (69),2 210 € - 2 500 € par mois,"ELISATH, PME high tech Nancy Sud, spécialisée dans la conception, le développement, la commercialisation, l’installation et la maintenance de systèmes de…"
405,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
406,Developpeur Web H/F,Marine Nationale,France,2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
407,Commercial beauté h/f,Premista,Lozanne (69),30 000 € - 35 000 € par an,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
408,Développeur .NET (H/F),OpenClassrooms,Lyon 9e (69),2 000 € - 2 200 € par mois,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
409,Développeur Logiciel Expérimenté H/F,OpenClassrooms,Craponne (69),580 € par mois,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
410,DIGITAL BUSINESS DEVELOPER F/H,OpenClassrooms,France,2 210 € - 2 500 € par mois,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
411,Developpeur Windev F/H,Distributeur Indépendant,Tassin-la-Demi-Lune (69),30 000 € - 35 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
412,Développeur PHP Full Stack,Baran,Brignais (69),30 000 € - 35 000 € par an,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
413,Développeur Java F/H,Teogest,Lyon 9e (69),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
414,Développeur C# confirmé (H/F),Modis,Craponne (69),30 000 € - 37 000 € par an,"ELISATH, PME high tech Nancy Sud, spécialisée dans la conception, le développement, la commercialisation, l’installation et la maintenance de systèmes de…"
415,DÉVELOPPEUR INFORMATIQUE (H/F),Pharmagest,France,28 377 € - 45 703 € par an,"Au sein d'une équipe de Développeurs, vos missions sont les suivantes :
Participer à la phase d'analyse des besoins des utilisateurs, conception de projets…"
416,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,VENATHEC,Tassin-la-Demi-Lune (69),27 000 € - 30 000 € par an,"Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and…"
417,Développeur (F/H) DEV-PRE-PNL80,Emerson,Brignais (69),2 000 € - 2 200 € par mois,"Rattaché au Responsable Développement, vous participez aux différentes phases d’analyse, de conception, tests et intégration des applications métiers."
418,Chef de bureau reporting / business intelligence H/F,Aston iTF,Tassin-la-Demi-Lune (69),30 000 € - 35 000 € par an,"Créé sur un esprit start-up et basé sur un business model solide, notre groupe a développé une solution en ligne innovante et performante, destinée aux…"
419,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,CAC,France,2 210 € - 2 500 € par mois,"Rattaché au directeur technique, au sein d’une équipe expérimentée, vous serez en charge du développement des différents modules constituant notre ERP."
420,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,TOMORROW JOBS,Lozanne (69),33 000 € - 39 000 € par an,"Dans le cadre du développement de ses ressources de développement, VENATHEC, précurseur dans le développement d’outils d’aide à la décision et d’automatisation…"
421,DÉVELOPPEUR INFORMATIQUE (H/F),Armée de Terre,Champagne-au-Mont-d'Or (69),24 000 € - 50 000 € par an,"Thème/sujet : Développement d'outils de production.
A ce titre, vos missions seront les suivantes :
Vous développerez, en collaboration avec un chef de projet…"
422,Développeur Front - IOT F/H,OpenClassrooms,Champagne-au-Mont-d'Or (69),2 000 € - 2 200 € par mois,"Quadra Informatique, fort de ses 23 ans d’expérience et de ses projets réussis avec ses partenaires, grands comptes régionaux et nationaux, trouve sa force dans…"
423,Consultant Développeur PHP (H/F),Premista,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
424,Développeur C# confirmé (H/F),Marine Nationale,France,45 000 € - 55 000 € par an,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
425,Développeur / Chef de projet en solutions d'industrialisation IT F/H,OpenClassrooms,Lozanne (69),2 210 € - 2 500 € par mois,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
426,Développeur H/F,OpenClassrooms,Lyon 9e (69),30 000 € - 35 000 € par an,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
427,Développeur/euse Web Fullstack,Armée de Terre,Craponne (69),30 000 € - 35 000 € par an,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
428,Un développeur Java JEE/Angular sur Nancy / Freelance,Switch Over,Brignais (69),2 210 € - 2 500 € par mois,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
429,Développeur Informatique H/F,Quadra Informatique,France,30 000 € - 40 000 € par an,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
430,Développeur Back-End C#/.NET,TOMORROW JOBS,Tassin-la-Demi-Lune (69),30 000 € - 35 000 € par an,"Développeur php symfony backend/fullstack ou similaire: 1 an (Requis).
Dans le cadre de notre développement, nous recrutons des développeurs(euses) PHP, soit…"
431,Développeur Full Stack et Web (F/H) DW-PRE-NA158,Jobboards,France,35 000 € - 45 000 € par an,"Vous souhaitez contribuer aux développements d’applications innovantes nécessaires à l’amélioration de la gestion de code source (qualité, analyse,…"
432,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Modis,Craponne (69),2 000 € - 2 200 € par mois,"Avec plus de 45 000 collaborateurs dans le monde, notre client fournit des prestations d'analyse aux industries pharmaceutiques, alimentaires et dans le domaine…"
433,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Nuamouv,Brignais (69),2 000 € - 2 200 € par mois,"Elle propose une gamme de progiciels en technologie web, mobile et data, dédiée au suivi et à loptimisation des productions agricoles et agro-alimentaires."
434,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Smarteo,Tassin-la-Demi-Lune (69),19 000 € - 27 000 € par an,"Au cœur des mutations du système de santé, le Groupe Pharmagest est à la pointe de tous les défis technologiques allant du logiciel métier du pharmacien, à la…"
435,Développeur (F/H) DEV-PRE-PNL80,Groupe Mentor,Lozanne (69),2 210 € - 2 500 € par mois,"En cas de pépin, vous êtes amené à devoir analyser les problèmes techniques afin d’en déterminer les actions correctives à mener tel un véritable analyste,."
436,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Harry Hope,Lyon 9e (69),30 000 € - 35 000 € par an,"Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and…"
437,Chef de bureau reporting / business intelligence H/F,Aston iTF,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"Développeurs php symfony backend / fullstack nancy ou similaire: 1 an (Requis).
Gamestream® est le leader mondial des solutions de streaming de jeux vidéo en…"
438,DÉVELOPPEUR INFORMATIQUE (H/F),Premista,France,2 210 € - 2 500 € par mois,"Directement rattaché au CTO, vous rejoindrez l’équipe de développeurs.
Type de contrat : CDI (poste à pourvoir ASAP).
Parfaitement les langages C#, .Net."
439,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,Champagne-au-Mont-d'Or (69),30 000 € - 35 000 € par an,"Missions : Dans le cadre du développement de nos activités, la société Verdi Grand Est recherche un.e Directeur.rice d’Activité Bâtiment en CDI (poste basé à…"
440,ANALYSTE CONTRÔLE QUALITÉ CODE SOURCE F/H,OpenClassrooms,Lyon (69),2 210 € - 2 500 € par mois,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
441,Développeur Back-End C#/.NET,OpenClassrooms,France,35 000 € - 45 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
442,DEVELOPPEUR F/H,Premista,Tassin-la-Demi-Lune (69),27 023 € - 41 865 € par an,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
443,Ingénieur informatique (H/F),OpenClassrooms,Brignais (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
444,Un développeur Java JEE/Angular sur Nancy / Freelance,Marine Nationale,Craponne (69),30 000 € - 35 000 € par an,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
445,Analyste Testeur Fintech H/F,Armée de Terre,France,2 210 € - 2 500 € par mois,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
446,Développeur PHP Symfony Backend/Fullstack H/F,OpenClassrooms,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
447,Développeur ERP H/F,Actimage,Lozanne (69),30 000 € - 35 000 € par an,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
448,Chef de projet confirmé(e) IAM F/H,Harry Hope,Lyon 9e (69),30 000 € - 35 000 € par an,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
449,Consultant Développeur C#.NET - Région Es F/H,ALTRAN TECHNOLOGIES,Champagne-au-Mont-d'Or (69),30 000 € - 35 000 € par an,"Nous recherchons plusieurs Développeurs Cobol pour intégrer une équipe chez un de nos clients.
A ce titre, vos missions viseront entre autres à :"
450,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Gamestream,France,2 210 € - 2 500 € par mois,"Harry Hope, cabinet de recrutement, accompagne les candidats dans leurs recherches d’opportunités sur l’ensemble du Grand-Est."
451,Développeur (F/H) DEV-PRE-PNL80,Euro Information,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"Rattaché à l'un de nos Team Managers en qualité de Consultant Engineer, au sein de la solution Digitale d’Altran, vous accompagnerez nos clients sur divers…"
452,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OPEN,Brignais (69),30 000 € - 35 000 € par an,"Développeur senior mobile android natif - nancy ou similaire: 5 ans (Souhaité).
Gamestream® est le leader mondial des solutions de streaming de jeux vidéo en…"
453,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Nuamouv,Craponne (69),2 210 € - 2 500 € par mois,"Vous souhaitez contribuer aux développements d'applications innovantes nécessaires à l'amélioration de la gestion de code source (qualité, analyse,…"
454,Développeur Full Stack et Web (F/H) DW-PRE-NA158,HAYS,France,2 000 € - 2 200 € par mois,Rejoignez une équipe de développeurs passionnés qui évolue au sein d'un environnement bancaire dans le but de répondre aux demandes d'évolutions des…
455,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Lynx RH,Tassin-la-Demi-Lune (69),30 000 € - 35 000 € par an,"Avant d’en poursuivre la commercialisation, nous recherchons notre premier/ère développeur/euse spécialisé(e) Android.
Android, API REST, Android Things."
456,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,Lozanne (69),2 210 € - 2 500 € par mois,"Donnez un nouveau souffle à votre carrière !
Notre client est une société spécialisée dans le domaine des télécommunications et de l’infrastructure réseau très…"
457,DÉVELOPPEUR INFORMATIQUE (H/F),Premista,Lyon 9e (69),27 023 € - 41 865 € par an,"Spécifier les projets retenus sous forme de maquettes destinées aux développeurs.
Au cœur des mutations du système de santé, le Groupe Pharmagest est à la…"
458,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,Champagne-au-Mont-d'Or (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
459,Directeur d’Activité Bâtiment H/F,OpenClassrooms,Brignais (69),30 000 € - 35 000 € par an,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
460,Développeur Logiciel Front-End (H/F),Premista,Craponne (69),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
461,Développeur/euse Android confirmé(e),OpenClassrooms,Lyon 9e (69),42 000 € - 48 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
462,Développeur Full-Stack (H/F),Marine Nationale,Champagne-au-Mont-d'Or (69),28 377 € - 45 703 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
463,ANALYSTE CONTRÔLE QUALITÉ CODE SOURCE (H/F),Armée de Terre,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
464,UX Designer H/F,OpenClassrooms,France,25 000 € - 35 000 € par an,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
465,Lead Developer H/F,Pharmagest,France,2 210 € - 2 500 € par mois,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
466,Consultant Développeur JAVA | J2EE (Lorraine) F/H,Verdi,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
467,Ingénieur développement C# (F/H),Harry Hope,Lozanne (69),35 000 € - 45 000 € par an,"Vous souhaitez contribuer aux développements d’applications innovantes nécessaires à l’amélioration de la gestion de code source (qualité, analyse,…"
468,Consultant Développeur .NET | C# (Lorraine) F/H,VERSUSMIND,Lyon (69),24 000 € - 28 000 € par an,"Avec plus de 400 postes en CDI à pourvoir sur toute la France, NEXTGEN RH est un cabinet de recrutement qui se positionne comme un véritable guide pour ses…"
469,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Pharmagest,Brignais (69),26 000 € - 29 000 € par an,"Vous occuperez la fonction d’analyste.
Responsable de la production, une Responsable Produit, 6 développeurs et 2 testeurs.
Enjeux d’un projet applicatif."
470,Développeur (F/H) DEV-PRE-PNL80,Crédit mutuel,Craponne (69),2 210 € - 2 500 € par mois,"Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Nous recherchons pour le compte de notre client un…"
471,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,IT link,Lyon 9e (69),2 000 € - 2 200 € par mois,"De formation informatique Bac+5, vous justifiez de 2/3 ans d’expérience dans la fonction de développeur(se) ainsi que dans la réalisation de site web."
472,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Gamestream,Champagne-au-Mont-d'Or (69),25 000 € - 35 000 € par an,"Rattaché à l'un de nos Team Managers en qualité de Consultant Engineer, au sein de la solution Digitale d’Altran, vous accompagnerez nos clients sur divers…"
473,Développeur Full Stack et Web (F/H) DW-PRE-NA158,VERSUSMIND,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"Smarteo recherche pour l’un de ses clients, grand compte, un développeur développeur Java JEE/Angular sur Nancy."
474,Chef de bureau reporting / business intelligence H/F,ADISTA,France,33 000 € - 38 000 € par an,"Spécifier les projets retenus sous forme de maquettes destinées aux développeurs.
Au cœur des mutations du système de santé, le Groupe Pharmagest est à la…"
475,DÉVELOPPEUR INFORMATIQUE (H/F),OpenClassrooms,France,32 000 € - 40 000 € par an,"Vous êtes en quête d’un nouveau challenge au sein d’une équipe dynamique ?
Que vous soyez amateur/ amatrice ou non de mirabelles, ce n’est pas un problème !"
476,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Premista,Tassin-la-Demi-Lune (69),27 000 € - 30 000 € par an,"Vous êtes en charge d'une équipe de réalisation au forfait de projets d'IAM (gestion des identités, gestion des rôles, gestion des comptes, gestion des accès …"
477,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,Lozanne (69),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
478,Développeurs PHP Symfony backend / fullstack Nancy,OpenClassrooms,Brignais (69),25 000 € - 35 000 € par an,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
479,ECONOMISTE DE LA CONSTRUCTION H/F,Premista,Craponne (69),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
480,Chef de projet confirmé(e) IAM F/H,Marine Nationale,Lyon 9e (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
481,Responsable Développeur Foncier 54 H/F,Armée de Terre,Champagne-au-Mont-d'Or (69),55 000 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
482,Responsable de centre de profit en création (H/F),OpenClassrooms,Tassin-la-Demi-Lune (69),2 471 € - 2 664 € par mois,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
483,Technicien développeur informatique,OpenClassrooms,France,25 000 € - 35 000 € par an,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
484,DÉVELOPPEUR FULL STACK (F/H),GEZIM,France,2 210 € - 2 500 € par mois,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
485,Developpeur web PHP confirmé F/H,Orange,Tassin-la-Demi-Lune (69),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
486,ANALYSTE CONTRÔLE QUALITÉ CODE SOURCE (H/F),Gamestream,Lozanne (69),33 000 € - 38 000 € par an,"Aujourd’hui nous recherchons Un Consultant en Développement Java J2EE, évoluant au sein d’une équipe Agile et ayant une pratique des frameworks Spring ou…"
487,Responsable applicatif H/F,ARKETEAM,Bordeaux (33),30 000 € - 40 000 € par an,"Aujourd’hui nous recherchons Un Consultant en Développement .
Net | C#., évoluant au sein d’une équipe Agile et cultivant une veille sur d’autres techniques…"
488,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,NextGen RH,Mérignac (33),35 000 € - 45 000 € par an,"Vous travaillez en collaboration avec les développeurs Back-End pour mettre en place les services et fonctions,.
Vous maitrisez les domaines suivants :"
489,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Thélem assurances,Bordeaux (33),25 000 € - 35 000 € par an,"Pour une nouvelle étude, notre client, grand spécialiste du BTP recherche un Économiste de la Construction H/F afin de réaliser le métré de l’avant-projet…"
490,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Expectra.fr,Bordeaux (33),2 210 € - 2 500 € par mois,"O Accompagnement et « coaching » des développeurs intervenant sur le produit.
Animer votre équipe de développeurs (Interne et/ou Externe) :"
491,Développeur Full Stack et Web (F/H) DW-PRE-NA158,Armée de l'Air,France,2 000 € - 2 200 € par mois,"Dans le cadre de son développement, ARKETEAM recherche un développeur web PHP confirmé pour son agence de Nancy.
Pour intégrer une équipe dynamique,."
